36, 13, 24, 7, 10, 36, 13, 24, 12, 25
36, 13, 24, 1, 50, 36, 13, 24, 12, 25
36, 13, 24, 3, 28, 36, 13, 24, 12, 25
36, 13, 24, 5, 19, 36, 13, 24, 12, 25
36, 13, 24, 10, 7, 36, 13, 24, 12, 25
36, 13, 24, 50, 1, 36, 13, 24, 12, 25
36, 13, 24, 28, 3, 36, 13, 24, 12, 25
36, 13, 24, 19, 5, 36, 13, 24, 12, 25
36, 13, 24, 34, 21, 36, 13, 24, 12, 25
36, 13, 24, 21, 34, 36, 13, 24, 12, 25
36, 13, 24, 30, 48, 36, 13, 24, 12, 25
36, 13, 24, 48, 30, 36, 13, 24, 12, 25
36, 13, 24, 16, 52, 36, 13, 24, 12, 25
36, 13, 24, 52, 16, 36, 13, 24, 12, 25
36, 13, 24, 25, 12, 36, 13, 24, 12, 25
13, 24, 36, 7, 10, 36, 13, 24, 12, 25
13, 24, 36, 1, 50, 36, 13, 24, 12, 25
13, 24, 36, 3, 28, 36, 13, 24, 12, 25
13, 24, 36, 5, 19, 36, 13, 24, 12, 25
13, 24, 36, 10, 7, 36, 13, 24, 12, 25
13, 24, 36, 50, 1, 36, 13, 24, 12, 25
13, 24, 36, 28, 3, 36, 13, 24, 12, 25
13, 24, 36, 19, 5, 36, 13, 24, 12, 25
13, 24, 36, 12, 25, 36, 13, 24, 12, 25
13, 24, 36, 25, 12, 36, 13, 24, 12, 25
13, 24, 36, 21, 34, 36, 13, 24, 12, 25
13, 24, 36, 34, 21, 36, 13, 24, 12, 25
13, 24, 36, 30, 48, 36, 13, 24, 12, 25
13, 24, 36, 48, 30, 36, 13, 24, 12, 25
13, 24, 36, 16, 52, 36, 13, 24, 12, 25
13, 24, 36, 52, 16, 36, 13, 24, 12, 25
24, 36, 13, 10, 7, 36, 13, 24, 12, 25
24, 36, 13, 50, 1, 36, 13, 24, 12, 25
24, 36, 13, 28, 3, 36, 13, 24, 12, 25
24, 36, 13, 19, 5, 36, 13, 24, 12, 25
24, 36, 13, 7, 10, 36, 13, 24, 12, 25
24, 36, 13, 1, 50, 36, 13, 24, 12, 25
24, 36, 13, 3, 28, 36, 13, 24, 12, 25
24, 36, 13, 5, 19, 36, 13, 24, 12, 25
24, 36, 13, 12, 25, 36, 13, 24, 12, 25
24, 36, 13, 25, 12, 36, 13, 24, 12, 25
24, 36, 13, 34, 21, 36, 13, 24, 12, 25
24, 36, 13, 21, 34, 36, 13, 24, 12, 25
24, 36, 13, 48, 30, 36, 13, 24, 12, 25
24, 36, 13, 30, 48, 36, 13, 24, 12, 25
24, 36, 13, 16, 52, 36, 13, 24, 12, 25
24, 36, 13, 52, 16, 36, 13, 24, 12, 25
38, 22, 33, 10, 7, 36, 13, 24, 12, 25
38, 22, 33, 50, 1, 36, 13, 24, 12, 25
38, 22, 33, 28, 3, 36, 13, 24, 12, 25
38, 22, 33, 19, 5, 36, 13, 24, 12, 25
38, 22, 33, 7, 10, 36, 13, 24, 12, 25
38, 22, 33, 1, 50, 36, 13, 24, 12, 25
38, 22, 33, 3, 28, 36, 13, 24, 12, 25
38, 22, 33, 5, 19, 36, 13, 24, 12, 25
38, 22, 33, 12, 25, 36, 13, 24, 12, 25
38, 22, 33, 25, 12, 36, 13, 24, 12, 25
38, 22, 33, 21, 34, 36, 13, 24, 12, 25
